SAF (HEFA-SPK) FOB Straits $/mt (mirror),UCO FOB Straits $/mt,Year,Quarter,Month,Day,Earliest Date
1786.25,855.00,2024,Qtr 4,October,14,2024-10-14 00:00:00
1753,855.00,2024,Qtr 4,October,15,2024-10-15 00:00:00
1747,855.00,2024,Qtr 4,October,16,2024-10-16 00:00:00
1750,855.00,2024,Qtr 4,October,17,2024-10-17 00:00:00
1735.12,855.00,2024,Qtr 4,October,18,2024-10-18 00:00:00
1745.5,855.00,2024,Qtr 4,October,21,2024-10-21 00:00:00
1769.75,855.00,2024,Qtr 4,October,22,2024-10-22 00:00:00
1767.87,855.00,2024,Qtr 4,October,23,2024-10-23 00:00:00
1767.25,855.00,2024,Qtr 4,October,24,2024-10-24 00:00:00
1788.5,855.00,2024,Qtr 4,October,25,2024-10-25 00:00:00
1758,855.00,2024,Qtr 4,October,28,2024-10-28 00:00:00
1743.87,855.00,2024,Qtr 4,October,29,2024-10-29 00:00:00
1772.5,865.00,2024,Qtr 4,October,30,2024-10-30 00:00:00
1747.5,0.00,2024,Qtr 4,October,31,2024-10-31 00:00:00
1748.75,865.00,2024,Qtr 4,November,1,2024-11-01 00:00:00
1748.75,865.00,2024,Qtr 4,November,4,2024-11-04 00:00:00
1748.75,865.00,2024,Qtr 4,November,5,2024-11-05 00:00:00
1748.75,870.00,2024,Qtr 4,November,6,2024-11-06 00:00:00
1751.25,870.00,2024,Qtr 4,November,7,2024-11-07 00:00:00
1751.25,880.00,2024,Qtr 4,November,8,2024-11-08 00:00:00
1751.5,880.00,2024,Qtr 4,November,11,2024-11-11 00:00:00
1958,880.00,2024,Qtr 4,November,12,2024-11-12 00:00:00
1955.25,905.00,2024,Qtr 4,November,13,2024-11-13 00:00:00
2039.5,905.00,2024,Qtr 4,November,14,2024-11-14 00:00:00
2036.87,905.00,2024,Qtr 4,November,15,2024-11-15 00:00:00
2048.37,950.00,2024,Qtr 4,November,18,2024-11-18 00:00:00
2047.75,950.00,2024,Qtr 4,November,19,2024-11-19 00:00:00
2042.25,950.00,2024,Qtr 4,November,20,2024-11-20 00:00:00
2140.62,950.00,2024,Qtr 4,November,21,2024-11-21 00:00:00
2140.62,950.00,2024,Qtr 4,November,22,2024-11-22 00:00:00
2140.62,950.00,2024,Qtr 4,November,25,2024-11-25 00:00:00
2141.25,950.00,2024,Qtr 4,November,26,2024-11-26 00:00:00
2141.25,950.00,2024,Qtr 4,November,27,2024-11-27 00:00:00
2128.75,950.00,2024,Qtr 4,November,28,2024-11-28 00:00:00
2128.75,950.00,2024,Qtr 4,November,29,2024-11-29 00:00:00
2128.75,950.00,2024,Qtr 4,December,2,2024-12-02 00:00:00
2139.5,950.00,2024,Qtr 4,December,3,2024-12-03 00:00:00
2128.75,950.00,2024,Qtr 4,December,4,2024-12-04 00:00:00
2034.5,950.00,2024,Qtr 4,December,5,2024-12-05 00:00:00
2024.25,950.00,2024,Qtr 4,December,6,2024-12-06 00:00:00
2027.25,950.00,2024,Qtr 4,December,9,2024-12-09 00:00:00
2032.12,950.00,2024,Qtr 4,December,10,2024-12-10 00:00:00
2016,970.00,2024,Qtr 4,December,11,2024-12-11 00:00:00
1918.75,980.00,2024,Qtr 4,December,12,2024-12-12 00:00:00
1918.75,980.00,2024,Qtr 4,December,13,2024-12-13 00:00:00
1918.75,1000.00,2024,Qtr 4,December,16,2024-12-16 00:00:00
1918.75,1000.00,2024,Qtr 4,December,17,2024-12-17 00:00:00
1918.5,1000.00,2024,Qtr 4,December,18,2024-12-18 00:00:00
1890.25,1005.00,2024,Qtr 4,December,19,2024-12-19 00:00:00
1884.75,1005.00,2024,Qtr 4,December,20,2024-12-20 00:00:00
1879.5,1005.00,2024,Qtr 4,December,23,2024-12-23 00:00:00
1883.75,1005.00,2024,Qtr 4,December,24,2024-12-24 00:00:00
0,1005.00,2024,Qtr 4,December,26,2024-12-26 00:00:00
1891.25,1010.00,2024,Qtr 4,December,27,2024-12-27 00:00:00
1900.5,1010.00,2024,Qtr 4,December,30,2024-12-30 00:00:00
1903,1010.00,2024,Qtr 4,December,31,2024-12-31 00:00:00
1919.25,1010.00,2025,Qtr 1,January,2,2025-01-02 00:00:00
1918.25,1000.00,2025,Qtr 1,January,3,2025-01-03 00:00:00
1925.25,1000.00,2025,Qtr 1,January,6,2025-01-06 00:00:00
1922.75,1000.00,2025,Qtr 1,January,7,2025-01-07 00:00:00
1911,1000.00,2025,Qtr 1,January,8,2025-01-08 00:00:00
1926,1025.00,2025,Qtr 1,January,9,2025-01-09 00:00:00
1951,1025.00,2025,Qtr 1,January,10,2025-01-10 00:00:00
1970.25,1025.00,2025,Qtr 1,January,13,2025-01-13 00:00:00
1925,1025.00,2025,Qtr 1,January,14,2025-01-14 00:00:00
1925,1025.00,2025,Qtr 1,January,15,2025-01-15 00:00:00
1925,1025.00,2025,Qtr 1,January,16,2025-01-16 00:00:00
1925,1015.00,2025,Qtr 1,January,17,2025-01-17 00:00:00
1925,1015.00,2025,Qtr 1,January,20,2025-01-20 00:00:00
1925,1010.00,2025,Qtr 1,January,21,2025-01-21 00:00:00
1925,1010.00,2025,Qtr 1,January,22,2025-01-22 00:00:00
1665,1010.00,2025,Qtr 1,January,23,2025-01-23 00:00:00
1671,1010.00,2025,Qtr 1,January,24,2025-01-24 00:00:00
1651.75,1025.00,2025,Qtr 1,January,27,2025-01-27 00:00:00
1649.5,1025.00,2025,Qtr 1,January,28,2025-01-28 00:00:00
1706.75,0.00,2025,Qtr 1,January,29,2025-01-29 00:00:00
1710,0.00,2025,Qtr 1,January,30,2025-01-30 00:00:00
1708,1025.00,2025,Qtr 1,January,31,2025-01-31 00:00:00
1711.5,1025.00,2025,Qtr 1,February,3,2025-02-03 00:00:00
1710.25,1025.00,2025,Qtr 1,February,4,2025-02-04 00:00:00
1700.25,1025.00,2025,Qtr 1,February,5,2025-02-05 00:00:00
1699.75,1025.00,2025,Qtr 1,February,6,2025-02-06 00:00:00
1706.5,1025.00,2025,Qtr 1,February,7,2025-02-07 00:00:00
1717.25,1015.00,2025,Qtr 1,February,10,2025-02-10 00:00:00
1729.75,1015.00,2025,Qtr 1,February,11,2025-02-11 00:00:00
1720.75,1015.00,2025,Qtr 1,February,12,2025-02-12 00:00:00
1701.25,1025.00,2025,Qtr 1,February,13,2025-02-13 00:00:00
1703.5,1030.00,2025,Qtr 1,February,14,2025-02-14 00:00:00
1700.25,1030.00,2025,Qtr 1,February,17,2025-02-17 00:00:00
1706.5,1030.00,2025,Qtr 1,February,18,2025-02-18 00:00:00
1700.5,1065.00,2025,Qtr 1,February,19,2025-02-19 00:00:00
1682,1065.00,2025,Qtr 1,February,20,2025-02-20 00:00:00
1682,1065.00,2025,Qtr 1,February,21,2025-02-21 00:00:00
1682,1050.00,2025,Qtr 1,February,24,2025-02-24 00:00:00
1682,1050.00,2025,Qtr 1,February,25,2025-02-25 00:00:00
1682,1055.00,2025,Qtr 1,February,26,2025-02-26 00:00:00
1682,1055.00,2025,Qtr 1,February,27,2025-02-27 00:00:00
1682,1065.00,2025,Qtr 1,February,28,2025-02-28 00:00:00
1682,1065.00,2025,Qtr 1,March,3,2025-03-03 00:00:00
1682,1070.00,2025,Qtr 1,March,4,2025-03-04 00:00:00
1664.25,1080.00,2025,Qtr 1,March,5,2025-03-05 00:00:00
1676.25,1080.00,2025,Qtr 1,March,6,2025-03-06 00:00:00
1682.5,1085.00,2025,Qtr 1,March,7,2025-03-07 00:00:00
1677,1085.00,2025,Qtr 1,March,10,2025-03-10 00:00:00
1659.75,1085.00,2025,Qtr 1,March,11,2025-03-11 00:00:00
1662.75,1090.00,2025,Qtr 1,March,12,2025-03-12 00:00:00
1653.75,1095.00,2025,Qtr 1,March,13,2025-03-13 00:00:00
1658.5,1095.00,2025,Qtr 1,March,14,2025-03-14 00:00:00
1668,1095.00,2025,Qtr 1,March,17,2025-03-17 00:00:00
1632,1095.00,2025,Qtr 1,March,18,2025-03-18 00:00:00
1632,1090.00,2025,Qtr 1,March,19,2025-03-19 00:00:00
1632,1085.00,2025,Qtr 1,March,20,2025-03-20 00:00:00
1632,1085.00,2025,Qtr 1,March,21,2025-03-21 00:00:00
1632,1085.00,2025,Qtr 1,March,24,2025-03-24 00:00:00
1632,1085.00,2025,Qtr 1,March,25,2025-03-25 00:00:00
1646.5,1080.00,2025,Qtr 1,March,26,2025-03-26 00:00:00
1650.25,1080.00,2025,Qtr 1,March,27,2025-03-27 00:00:00
1642.5,1080.00,2025,Qtr 1,March,28,2025-03-28 00:00:00
1656.75,0.00,2025,Qtr 1,March,31,2025-03-31 00:00:00
1667.75,1065.00,2025,Qtr 2,April,1,2025-04-01 00:00:00
1704.5,1065.00,2025,Qtr 2,April,2,2025-04-02 00:00:00
1662.25,1065.00,2025,Qtr 2,April,3,2025-04-03 00:00:00
1625,1060.00,2025,Qtr 2,April,4,2025-04-04 00:00:00
1613,1060.00,2025,Qtr 2,April,7,2025-04-07 00:00:00
1615.5,1015.00,2025,Qtr 2,April,8,2025-04-08 00:00:00
1609,1015.00,2025,Qtr 2,April,9,2025-04-09 00:00:00
1635,1015.00,2025,Qtr 2,April,10,2025-04-10 00:00:00
1632,1015.00,2025,Qtr 2,April,11,2025-04-11 00:00:00
1648,1000.00,2025,Qtr 2,April,14,2025-04-14 00:00:00
1648.25,1000.00,2025,Qtr 2,April,15,2025-04-15 00:00:00
1648,1000.00,2025,Qtr 2,April,16,2025-04-16 00:00:00
1648,1000.00,2025,Qtr 2,April,17,2025-04-17 00:00:00
0,965.00,2025,Qtr 2,April,21,2025-04-21 00:00:00
1648,970.00,2025,Qtr 2,April,22,2025-04-22 00:00:00
1643,980.00,2025,Qtr 2,April,23,2025-04-23 00:00:00
1651.75,980.00,2025,Qtr 2,April,24,2025-04-24 00:00:00
1658.75,985.00,2025,Qtr 2,April,25,2025-04-25 00:00:00
1650,985.00,2025,Qtr 2,April,28,2025-04-28 00:00:00
1651.5,985.00,2025,Qtr 2,April,29,2025-04-29 00:00:00
1636,985.00,2025,Qtr 2,April,30,2025-04-30 00:00:00
1621,0.00,2025,Qtr 2,May,1,2025-05-01 00:00:00
1615.25,980.00,2025,Qtr 2,May,2,2025-05-02 00:00:00
0,990.00,2025,Qtr 2,May,5,2025-05-05 00:00:00
1625,990.00,2025,Qtr 2,May,6,2025-05-06 00:00:00
1593.5,990.00,2025,Qtr 2,May,7,2025-05-07 00:00:00
1605,1005.00,2025,Qtr 2,May,8,2025-05-08 00:00:00
1615.5,1005.00,2025,Qtr 2,May,9,2025-05-09 00:00:00
1630.5,0.00,2025,Qtr 2,May,12,2025-05-12 00:00:00
1646,1010.00,2025,Qtr 2,May,13,2025-05-13 00:00:00
1652,1005.00,2025,Qtr 2,May,14,2025-05-14 00:00:00
1672.5,1005.00,2025,Qtr 2,May,15,2025-05-15 00:00:00
1668.25,1015.00,2025,Qtr 2,May,16,2025-05-16 00:00:00
1667.5,1015.00,2025,Qtr 2,May,19,2025-05-19 00:00:00
1658.25,1015.00,2025,Qtr 2,May,20,2025-05-20 00:00:00
1687.75,1015.00,2025,Qtr 2,May,21,2025-05-21 00:00:00
1681,1015.00,2025,Qtr 2,May,22,2025-05-22 00:00:00
1686.5,1015.00,2025,Qtr 2,May,23,2025-05-23 00:00:00
0,1015.00,2025,Qtr 2,May,26,2025-05-26 00:00:00
1676.5,1015.00,2025,Qtr 2,May,27,2025-05-27 00:00:00
1687.75,1015.00,2025,Qtr 2,May,28,2025-05-28 00:00:00
1676,1015.00,2025,Qtr 2,May,29,2025-05-29 00:00:00
1646,1015.00,2025,Qtr 2,May,30,2025-05-30 00:00:00
1752,1015.00,2025,Qtr 2,June,2,2025-06-02 00:00:00
1765.25,1015.00,2025,Qtr 2,June,3,2025-06-03 00:00:00
1754.5,1015.00,2025,Qtr 2,June,4,2025-06-04 00:00:00
1764.5,1015.00,2025,Qtr 2,June,5,2025-06-05 00:00:00
1769.25,1010.00,2025,Qtr 2,June,6,2025-06-06 00:00:00
1777.25,1010.00,2025,Qtr 2,June,9,2025-06-09 00:00:00
1786,1010.00,2025,Qtr 2,June,10,2025-06-10 00:00:00
1784.25,1005.00,2025,Qtr 2,June,11,2025-06-11 00:00:00
1855,1005.00,2025,Qtr 2,June,12,2025-06-12 00:00:00
1901.25,1005.00,2025,Qtr 2,June,13,2025-06-13 00:00:00
1901.75,1025.00,2025,Qtr 2,June,16,2025-06-16 00:00:00
1951.5,1030.00,2025,Qtr 2,June,17,2025-06-17 00:00:00
1950.75,1030.00,2025,Qtr 2,June,18,2025-06-18 00:00:00
2007.25,1030.00,2025,Qtr 2,June,19,2025-06-19 00:00:00
1997.25,1030.00,2025,Qtr 2,June,20,2025-06-20 00:00:00
1997.25,1030.00,2025,Qtr 2,June,23,2025-06-23 00:00:00
1997.25,1035.00,2025,Qtr 2,June,24,2025-06-24 00:00:00
1942.75,1035.00,2025,Qtr 2,June,25,2025-06-25 00:00:00
1945.5,1025.00,2025,Qtr 2,June,26,2025-06-26 00:00:00
1927.5,1025.00,2025,Qtr 2,June,27,2025-06-27 00:00:00
1930,1025.00,2025,Qtr 2,June,30,2025-06-30 00:00:00
1929.5,1025.00,2025,Qtr 3,July,1,2025-07-01 00:00:00
1941,1025.00,2025,Qtr 3,July,2,2025-07-02 00:00:00
